iter	Passed	Remaining
0	1	157
1	2	139
2	3	123
3	4	110
4	6	115
5	7	117
6	8	116
7	10	115
8	11	113
9	12	112
10	13	108
11	14	106
12	15	104
13	16	102
14	17	99
15	18	98
16	19	97
17	20	95
18	21	93
19	23	92
20	24	90
21	25	88
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	32	83
28	33	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	77
34	40	75
35	41	74
36	42	73
37	43	71
38	44	70
39	45	68
40	47	67
41	47	65
42	48	64
43	49	63
44	50	62
45	52	61
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	64	48
57	66	47
58	67	46
59	68	45
60	70	45
61	71	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	82	33
71	83	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	97	17
85	98	15
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
